Stock number,Artist's reference number,Title,Year,Medium,Dimensions,Signed and dated,Series,Additional information,Status,Availability,Location,Location (detail),Condition 
HC4089,I23-3089,Untitled (i23-3089),1965,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of sillkscreen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Artist proof - we dont know how many there are
Made with THS paper
Image size: 21 5/8 x 21",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4088,I23-3088,Untitled (i23-3088),1965,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of sillkscreen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Artist proof - we dont know how many there are
Made with THS paper
Image size: 21 1/8 x 21 1/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4087,I23-3087,Untitled (i23-3087),1965,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of sillkscreen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Artist proof - we dont know how many there are
Made with THS paper
Image size: 19 x 19 1/4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Discoloration along top edge
HC4086,I23-3086,Untitled (i23-3086),1965,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of sillkscreen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Artist proof - we dont know how many there are
Made with THS paper
Image size: 21 1/8 x 21 1/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4085,I23-3085,Untitled (i23-3085),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4084,I23-3084,Untitled (i23-3084),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4083,I23-3083,Untitled (i23-3083),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4082,I23-3082,Untitled (i23-3082),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4081,I23-3081,Untitled (i23-3081),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4080,I23-3080,Untitled (i23-3080),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4079,I23-3079,Untitled (i23-3079),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4078,I23-3078,Untitled (i23-3078),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4077,I23-3077,Untitled (i23-3077),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4076,I23-3076,Untitled (i23-3076),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4075,I23-3075,Untitled (i23-3075),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4074,I23-3074,Untitled (i23-3074),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4073,I23-3073,Untitled (i23-3073),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4072,I23-3072,Untitled (i23-3072),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4071,I23-3071,Untitled (i23-3071),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #3",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4070,I23-3070,Untitled (i23-3070),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4069,I23-3069,Untitled (i23-3069),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #5",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4068,I23-3068,Untitled (i23-3068),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #5",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4067,I23-3067,Untitled (i23-3067),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #3",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4066,I23-3066,Untitled (i23-3066),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4065,I23-3065,Untitled (i23-3065),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4064,I23-3064,Untitled (i23-3064),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #5",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4063,I23-3063,Untitled (i23-3063),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4062,I23-3062,Untitled (i23-3062),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #3",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4061,I23-3061,Untitled (i23-3061),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4060,I23-3060,Untitled (i23-3060),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4059,I23-3059,Untitled (i23-3059),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #5",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4058,I23-3058,Untitled (i23-3058),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4057,I23-3057,Untitled (i23-3057),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #3",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4056,I23-3056,Untitled (i23-3056),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4055,I23-3055,Untitled (i23-3055),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4054,I23-3054,Untitled (i23-3054),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #5",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4053,I23-3053,Untitled (i23-3053),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4052,I23-3052,Untitled (i23-3052),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #3",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4051,I23-3051,Untitled (i23-3051),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4050,I23-3050,Untitled (i23-3050),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4049,I23-3049,Untitled (i23-3049),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #5",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4048,I23-3048,Untitled (i23-3048),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4047,I23-3047,Untitled (i23-3047),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #3",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4046,I23-3046,Untitled (i23-3046),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4045,I23-3045,Untitled (i23-3045),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4044,I23-3044,Untitled (i23-3044),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4043,I23-3043,Untitled (i23-3043),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4042,I23-3042,Untitled (i23-3042),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4041,I23-3041,Untitled (i23-3041),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #3",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4040,I23-3040,Untitled (i23-3040),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4039,I23-3039,Untitled (i23-3039),1967,Ink on paper,"68.6 x 68.6 cm; 27 x 27 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 25 x 25
Artist proof - we dont know how many there are
Imagery is #1",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4038,I23-3038,Untitled (i23-3038),1967,Ink on paper,"56.8 x 56.8 cm; 22 3/8 x 22 3/8 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 22 7/8 x 23
Imagery is #1
Artist proof - we dont know how many there are",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4037,I23-3037,Untitled (i23-3037),1967,Ink on paper,"56.8 x 56.8 cm; 22 3/8 x 22 3/8 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 22 7/8 x 23
Imagery is #6
Artist proof - we dont know how many there are",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4036,I23-3036,Untitled (i23-3036),1967,Ink on paper,"56.8 x 56.8 cm; 22 3/8 x 22 3/8 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 22 7/8 x 23
Imagery is #5
Artist proof - we dont know how many there are",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4035,I23-3035,Untitled (i23-3035),1967,Ink on paper,"56.8 x 56.8 cm; 22 3/8 x 22 3/8 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 22 7/8 x 23
Imagery is #5
Artist proof - we dont know how many there are",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4034,I23-3034,Untitled (i23-3034),1967,Ink on paper,"57 x 56.8 cm; 22 1/2 x 22 3/8 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 22 7/8 x 23
Imagery is #3
Artist proof - we dont know how many there are",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4033,I23-3033,Untitled (i23-3033),1967,Ink on paper,"57 x 56.8 cm; 22 1/2 x 22 3/8 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 22 7/8 x 23
Imagery is #2
Artist proof - we dont know how many there are",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4032,I23-3032,Untitled (i23-3032),1967,Ink on paper,"59.5 x 59.5 cm; 23 1/2 x 23 1/2 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 22 7/8 x 23
Imagery is #2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4031,I23-3031,Untitled (i23-3031),1967,Ink on paper,"59.5 x 59.5 cm; 23 1/2 x 23 1/2 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 22 7/8 x 23
Imagery is #2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4030,I23-3030,Untitled (i23-3030),1967,Ink on paper,"59.5 x 59.5 cm; 23 1/2 x 23 1/2 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 22 7/8 x 23
Imagery is #2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4029,I23-3029,Untitled (i23-3029),1967,Ink on paper,"59.5 x 59.5 cm; 23 1/2 x 23 1/2 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 22 7/8 x 23
Imagery is #2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4028,I23-3028,Untitled (i23-3028),1967,Ink on paper,"59.5 x 59.5 cm; 23 1/2 x 23 1/2 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 22 7/8 x 23
Imagery is #2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4027,I23-3027,Untitled (i23-3027),1967,Ink on paper,"59.5 x 59.5 cm; 23 1/2 x 23 1/2 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 22 7/8 x 23
Imagery is #2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4026,I23-3026,Untitled (i23-3026),1967,Ink on paper,"59.5 x 59.5 cm; 23 1/2 x 23 1/2 in",,,"This work belongs to a group of screen print / lithographs 
They are a group of 6 different images
There is a note written on the parcel package in Cohen's handwriting 
stating ""HC '67 13 Lithos""
Image size: 22 7/8 x 23
Imagery is #2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4025,I23-3025,Untitled (i23-3025),1990-1999,Ink on paper,"28.3 x 38.1 cm; 11 1/8 x 15 in",,,"Jungle drawing imagery
Image size: 4 7/8 x 5 7/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4024,I23-3024,Untitled (i23-3024),1990-1999,Ink on paper,"28.3 x 38.1 cm; 11 1/8 x 15 in",,,"Portrait imagery
Image size: 4 7/8 x 5 7/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4023,I23-3023,Untitled (i23-3023),1990-1999,Ink on paper,"28.3 x 38.1 cm; 11 1/8 x 15 in",,,"Portrait imagery
Image size: 4 7/8 x 5 7/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4022,I23-3022,Untitled (i23-3022),1990-1999,Ink on paper,"28.3 x 38.1 cm; 11 1/8 x 15 in",,,"Portrait imagery
Image size: 5 11/16 x 4 11/16",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4021,I23-3021,Untitled (i23-3021),1990-1999,Ink on paper,"28.3 x 38.1 cm; 11 1/8 x 15 in",,,"Portrait imagery
Image size: 4 7/8 x 5 7/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4020,I23-3020,Untitled (i23-3020),1994,,"18.7 x 19.5 cm; 7 3/8 x 7 3/4 in",,,"Portrait imagery
Image size: 6 1/4 x 5 1/4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC4019,I23-3019,Untitled (i23-3019),1973,Ink on cloth,"76.2 x 92.7 cm; 30 x 36 1/2 in",,,"Work is a part of a group of four cloth hand drawings 
Some of the last works Cohen created before incorporating a 
computer / autonomous system 
Often refered to as Dacron works (Dacron is otherwise 
known as Polyester) so, incorperating a synthetic cotton material
It is unknown if this specific piece was made with dacron 
Non computer generated
Unknown orientation
Written on the outter tissue wrapping: ""cloth drawing by hand
(not computer generated) 1973",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Covered with foxing
HC4018,I23-3018,Untitled (i23-3018),1973,Ink on cloth,"38.1 x 50.8 cm; 15 x 20 in",,,"Work is a part of a group of four cloth hand drawings 
Some of the last works Cohen created before incorporating a 
computer / autonomous system 
Often refered to as Dacron works (Dacron is otherwise 
known as Polyester) so, incorperating a synthetic cotton material
It is unknown if this specific piece was made with dacron 
Non computer generated
Unknown orientation
Written on the outter tissue wrapping: ""small drawing 
on cloth (not computer generated) 1973",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Covered with foxing
